uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
spotify:track:5NqQXBoJUEBVJUV57wiqim,0.805,0.927,9,-2.339,1,0.237,0.0305,0,0.357,0.746,94.961,aggressive
spotify:track:422lAAWQO9TqL1LxIPdhOn,0.603,0.783,9,-6.891,1,0.138,0.00353,0,0.216,0.182,87.154,aggressive
spotify:track:4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,aggressive
spotify:track:4WVPpEGS7FX6TVkV0pHskN,0.637,0.737,11,-2.875,0,0.185,0.133,0,0.34,0.101,90.521,aggressive
spotify:track:1ckva68ysL3kpDRkZII6vK,0.699,0.771,6,-7.61,1,0.0424,0.0128,0.000407,0.19,0.834,154.998,aggressive
spotify:track:1CmVAFQMwKfIOht1KYSNQR,0.661,0.943,4,-2.155,1,0.349,0.394,0,0.246,0.833,81.58,aggressive
spotify:track:3zmduBNsQ6BPDTZAkXzG5K,0.642,0.777,4,-4.809,0,0.094,0.00323,0,0.227,0.413,96.986,aggressive
spotify:track:6ndmKwWqMozN2tcZqzCX4K,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87E-06,0.0795,0.88,84.858,aggressive
spotify:track:7qK3sX9MNReAgUQ6jdTAWC,0.633,0.881,1,-3.526,0,0.171,0.549,0,0.267,0.571,74.965,aggressive
spotify:track:3TYMoSYXpSJdiTn2egBPna,0.401,0.759,11,-6.827,0,0.031,7.67E-05,0.0414,0.0865,0.252,158.065,aggressive
spotify:track:6KigD0mlF4VGDYiSEzAyYw,0.716,0.946,1,-3.412,1,0.261,0.094,6.63E-05,0.0825,0.587,139.943,aggressive
spotify:track:0Cw5iiA8OHWIhuIIA8u8N5,0.595,0.714,1,-5.705,1,0.0609,0.0381,0,0.08,0.141,88.449,aggressive
spotify:track:6xbZaeFj8BPE3HGXF7VVjX,0.698,0.765,5,-4.562,1,0.291,0.169,0,0.39,0.589,84.94,aggressive
spotify:track:5aZceoAnPoEdxwFaim3jqf,0.709,0.836,1,-5.55,1,0.32,0.226,0,0.103,0.706,165.902,aggressive
spotify:track:2sNxh0HqmxQ3vXSoXLcLKz,0.503,0.656,7,-6.688,1,0.0786,0.121,0,0.0753,0.782,125.857,aggressive
spotify:track:1vcxF91pWs9uNwDROuiCPB,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,aggressive
spotify:track:5sG3G54H21hNfd5etlheoe,0.387,0.94,5,-4.16,0,0.0528,0.00369,0,0.0759,0.444,134.876,aggressive
spotify:track:0wHNrrefyaeVewm4NxjxrX,0.407,0.975,1,-3.176,1,0.0779,0.000578,1.42E-05,0.112,0.564,154.486,aggressive
spotify:track:7zBQRGpYImAdIZc97FNj3V,0.596,0.815,6,-5.668,0,0.0755,0.0111,0,0.174,0.459,165.015,aggressive
spotify:track:2IVkHqMAiJUabseibR9GZh,0.513,0.77,5,-8.946,0,0.0415,0.000702,0.0387,0.142,0.39,100.474,aggressive
spotify:track:5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2,-4.254,1,0.166,0.0603,0,0.582,0.751,107.045,aggressive
spotify:track:2c5Isyd07hWsl7AQia2Dig,0.615,0.871,1,-3.804,1,0.281,0.0388,0,0.246,0.338,119.149,aggressive
